A	B	C	D	T(raspon)	A(eksp)	n	Ea(J/mol)	red

O2	NO	O	NO2	300-550	1.70E+09	0	194547.6	2
O	NO2	O2	NO	300-550	1.00E+10	0	2494.2	2
O2	CO	O	CO2	1700-6000	5.06E+10	0	26400	2
O	CO2	O2	CO	1700-6000	2.71E+11	0	281000	2
O2	H	O	OH	950-3550	7.35E+09	0.96	51200	2
O	OH	O2	H	150-500	1.45E+10	0	-915	2
O2	H2	H	HO2	300-2500	1.45E+11	0	237000	2
H	HO2	O2	H2	245-300	3.37E+09	0	0	2
O	H2	OH	H	300-2500	2.07E+08	2.67	26300	2
OH	H	O	H2	300-2500	4.13E+07	2.8	16200	2
H	H2O	OH	H2	300-2500	4.11E+09	1.6	80800	2
OH	H2	H	H2O	300-2500	1.81E+09	1.3	15300	2
SO	O	S	O2	2212-3385	1.81E+10	0	58000	2
S	O2	SO	O	298-3460	9.03E+07	2.11	-6070	2
SO2	O	SO	O2	440-3000	5.00E+09	0	81500	2
SO	O2	SO2	O	250-3000	2.29E+09	0	30800	2
O	H2O	OH	OH	250-2400	1.11E+10	0.95	71300	2
OH	OH	O	H2O	250-2500	9.94E+08	1.14	416	2
OH	OH	H	HO2	298-1000	2.00E+09	0.51	211000	2
H	HO2	OH	OH	300-1000	1.69E+11	0	3658	2
H2	HO2	H	H2O2	300-2500	3.01E+10	0	109000	2
H	H2O2	H2	HO2	300-2500	4.82E+10	0	33300	2
H2	Br	HBr	H	214-1700	4.82E+10	0.43	74600	2
Br2	H	HBr	Br	500-1700	1.11E+11	0	10100	2
HBr	H	H2	Br	300-1800	1.32E+10	0.5	4639	2
O3	NO2	O2	NO3	230-360	7.23E+07	0	20400	2
N2O	O	N2	O2	1075-3340	3.69E+09	0	66700	2
CH3CHO	•H	H2	•CH3CO	1000-1700	1.20E+11	0	29300	2
CH3CHO	•CH3	CH4	•CH3CO	713-813	1.60E+09	0	34300	2
SO	O3	SO2	O2	230-420	2.71E+09	0	9728	2
NO2	NO2	NO	NO3	300-2500	6.14E+08	0.73	87300	2
NO2	SO2	SO3	NO	1360-1850	6.32E+09	0	113000	2
NO2	CO	CO2	NO	500-2000	9.03E+10	0	141000	2
NO2	CH3CHO	CH3CO	HNO2	295-390	2.51E+07	0	51880	2
CO2	N	CO	NO	291-523	1.93E+08	0	14220	2
•CH3	H2	CH4	•H	372-1790	3.30E+09	0	51050	2
•CH3	O2	•CH3O	•O	1250-2430	7.53E+09	0	118000	2
H2	•F	HF	•H	190-380	6.62E+10	0	3740	2
H	H2O	OH	H2	300-2000	3.02E+11	0	88130	2
H	NO	OH	N	1500-4500	2.17E+11	0	207000	2
H	N2O	OH	N2	700-2500	9.64E+10	0	63190	2
H	CO2	CO	OH	300-2500	1.51E+11	0	111000	2
H	O3	O2	OH	200-300	1.74E+10	0	3910	2
O	CH4	OH	CH3	350-2000	2.10E+10	0	37830	2
O	O3	O2	O2	200-400	4.82E+09	0	17130	2
OH	CH4	H2O	CH3	200-300	1.48E+09	0	14800	2
OH	O	O2	H	1000-2000	1.45E+10	0	2940	2
								
Br2	*	Br	Br	1300-2500	2.35E+11	0	180000	2
Br	Br	Br2	*	1400-1730	2.00E+04	0	-14100	2
N2O	*	N2	O	1200-2490	5.73E+11	0	241000	2
O3	*	O2	O	300-3000	4.31E+11	0	93120	2
CH3CHO	*	•CH3	•HCO	775-809	1.00E+17	0	308000	2
•HCO	*	CO	•H	298-1229	3.61E+10	0	64200	2
C2H6	*	CH3	CH3	800-2500	1.00E+16	0	285000	2
CH3OH	*	CH3	OH	100-2500	2.00E+14	0	286000	2
N2O5	*	NO2	NO3	285-384	6.93E+15	0	82400	2
H2S	*	H	SH	1960-1560	4.63E+11	0	345000	2
O2	O	O3	*	300-2100	3.49E+09	0	1900	2
Br	Br	Br2	*	1400-1730	2.00E+04	0	-14100	2
•CH3	•CH3	C2H6	*	296-2000	6.20E+10	-1.1	1330	2
•CH3	•CH3CO	 (CH3)2CO	*	296-396	2.75E+10	0	0	2
•CH3CO	•CH3CO	(CH3CO)2	*	300-2500	1.21E+10	0	0	2
CH3NC	*	CH3CN	*	472-554	2.90E-01	0	0	2
ciklopropan	*	propen	*	628-712	1.68E+06	0	81560	2
								
O2	O	O3	*	200-1400	3.26E+09	-0.88	3670	3
•CH3	•CH3	C2H6	*	300-2000	6.09E+17	-7	11600	3
								
N2O	*	N2	O	900-2000	2.51E+11	0	254000	1
O3	*	O2	O	700-1400	3.01E+13	-0.67	109000	1
CH3CHO	*	•CH3	•HCO	500-2000	2.00E+15	0	331000	1
•HCO	*	CO	•H	100-400	2.00E+05	0	110000	1
•CH3CO	*	CO	•CH3	800-1200	2.50E+12	0	60200	1
C2H6	*	CH3	CH3	1450-1940	7.94E+11	0	252000	1
N2O5	*	NO2	NO3	263-348	1.36E+15	0	93950	1
CH3NC	*	CH3CN	*	483-503	4.79E+13	0	161000	1
ciklopropan	*	propen	*	714-1250	8.13E+15	0	279000	1
ciklobutan	*	c2h4	c2h4	969-1280	2.63E+15	0	259000	1
