R1			R2		P1		P2		M1		M2		r1		r2		T(raspon)	A(exp)		B		E/R
									kg		kg		A		A		K			dm3/mol/s	K

H2			D		H		HD		2,016	2,014	1,570	0,530	400-1000	5,0E+10		0		3890
O2			NO		O		NO2		32,000	30,000	2,125	2,250	300-550		1,7E+09		0		23400
O3			O		O2		O2		48,000	16,000	2,603	0,600	200-500		5,2E+09		0		2090
O2			CO		O		CO2		32,000	28,000	2,125	2,210	1500-3000	2,5E+09		0		24000
O3			NO		O2		NO2		48,000	30,010	2,606	2,110	200-350		8,9E+08		0		1330
O3			NO2		O2		NO3		48,000	46,010	2,606	2,720	286-302		5,9E+09		0		3500
H2			CO2		H2O		CO		2,016	44,010	1,570	2,680	1500-2500	9,0E+06		0		7550
CH3CH=CH2	O		x		x		42,078	16,000	3,735	0,600	200-500		2,5E+09		0		38
S			O2		SO		O		32,016	32,000	0,880	2,125	250-450		1,4E+09		0		0
SO			O		S		O2		48,016	16,000	2,375	0,600	-			2,0E+08		0,5		19930
SO			O2		SO2		O		48,016	32,000	2,375	2,125	440-2100	4,5E+08		0		3250
SO2			O		SO		O2		64,016	16,000	2,759	0,600	440-2100	1,3E+11		-0,5	9980
NO			O2		NO2		O		30,010	32,000	2,110	2,125	300-550		1,7E+09		0		23400
NO2			O		NO		O2		46,010	16,000	2,720	0,600	300-550		1,0E+10		0		300
O			CO2		O2		CO		16,000	44,010	0,600	2,680	1500-3000	1,7E+10		0		26500
